Pid      Process              Block      Variable                       Value
-------- -------------------- ---------- ------------------------------ -----
     548 smss.exe             0x00100000 CommonProgramFiles             
    1108 VMwareTray.exe       0x00010000 PROCESSOR_REVISION             1a05
    1108 VMwareTray.exe       0x00010000 ProgramFiles                   C:\Program Files
    1108 VMwareTray.exe       0x00010000 SESSIONNAME                    Console
    1108 VMwareTray.exe       0x00010000 SystemDrive                    C:
    1108 VMwareTray.exe       0x00010000 SystemRoot                     C:\WINDOWS
    1108 VMwareTray.exe       0x00010000 TEMP                           C:\DOCUME~1\ADMINI~1\LOCALS~1\Temp
    1108 VMwareTray.exe       0x00010000 TMP                            C:\DOCUME~1\ADMINI~1\LOCALS~1\Temp
    1108 VMwareTray.exe       0x00010000 USERDOMAIN                     BOB-DCADFEDC55C
    1108 VMwareTray.exe       0x00010000 USERNAME                       Administrator
    1108 VMwareTray.exe       0x00010000 USERPROFILE                    C:\Documents and Settings\Administrator
    1108 VMwareTray.exe       0x00010000 windir                         C:\WINDOWS
    1116 VMwareUser.exe       0x00010000 ALLUSERSPROFILE                C:\Documents and Settings\All Users
    1116 VMwareUser.exe       0x00010000 APPDATA                        C:\Documents and Settings\Administrator\Application Data
    1116 VMwareUser.exe       0x00010000 CLIENTNAME                     Console
    1116 VMwareUser.exe       0x00010000 CommonProgramFiles             C:\Program Files\Common Files
    1116 VMwareUser.exe       0x00010000 COMPUTERNAME                   BOB-DCADFEDC55C
    1116 VMwareUser.exe       0x00010000 ComSpec                        C:\WINDOWS\system32\cmd.exe
    1116 VMwareUser.exe       0x00010000 FP_NO_HOST_CHECK               NO
    1116 VMwareUser.exe       0x00010000 HOMEDRIVE                      C:
    1116 VMwareUser.exe       0x00010000 HOMEPATH                       \Documents and Settings\Administrator
    1116 VMwareUser.exe       0x00010000 LOGONSERVER                    \\BOB-DCADFEDC55C
    1116 VMwareUser.exe       0x00010000 NUMBER_OF_PROCESSORS           1
    1116 VMwareUser.exe       0x00010000 OS                             Windows_NT
    1116 VMwareUser.exe       0x00010000 Path                           C:\Program Files\VMware\VMware Tools\;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem
    1116 VMwareUser.exe       0x00010000 PATHEXT                        .COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH
    1116 VMwareUser.exe       0x00010000 PROCESSOR_ARCHITECTURE         x86
    1116 VMwareUser.exe       0x00010000 PROCESSOR_IDENTIFIER           x86 Family 6 Model 26 Stepping 5, GenuineIntel
    1116 VMwareUser.exe       0x00010000 PROCESSOR_LEVEL                6
    1116 VMwareUser.exe       0x00010000 PROCESSOR_REVISION             1a05
    1116 VMwareUser.exe       0x00010000 ProgramFiles                   C:\Program Files
    1116 VMwareUser.exe       0x00010000 SESSIONNAME                    Console
    1116 VMwareUser.exe       0x00010000 SystemDrive                    C:
    1116 VMwareUser.exe       0x00010000 SystemRoot                     C:\WINDOWS
    1116 VMwareUser.exe       0x00010000 TEMP                           C:\DOCUME~1\ADMINI~1\LOCALS~1\Temp
    1116 VMwareUser.exe       0x00010000 TMP                            C:\DOCUME~1\ADMINI~1\LOCALS~1\Temp
    1116 VMwareUser.exe       0x00010000 USERDOMAIN                     BOB-DCADFEDC55C
    1116 VMwareUser.exe       0x00010000 USERNAME                       Administrator
    1116 VMwareUser.exe       0x00010000 USERPROFILE                    C:\Documents and Settings\Administrator
    1116 VMwareUser.exe       0x00010000 windir                         C:\WINDOWS
    1132 wscntfy.exe          0x00010000 ALLUSERSPROFILE                C:\Documents and Settings\All Users
    1132 wscntfy.exe          0x00010000 APPDATA                        C:\Documents and Settings\Administrator\Application Data
    1132 wscntfy.exe          0x00010000 CLIENTNAME                     Console
    1132 wscntfy.exe          0x00010000 CommonProgramFiles             C:\Program Files\Common Files
    1132 wscntfy.exe          0x00010000 COMPUTERNAME                   BOB-DCADFEDC55C
    1132 wscntfy.exe          0x00010000 ComSpec                        C:\WINDOWS\system32\cmd.exe
    1132 wscntfy.exe          0x00010000 FP_NO_HOST_CHECK               NO
    1132 wscntfy.exe          0x00010000 HOMEDRIVE                      C:
    1132 wscntfy.exe          0x00010000 HOMEPATH                       \Documents and Settings\Administrator
    1132 wscntfy.exe          0x00010000 LOGONSERVER                    \\BOB-DCADFEDC55C
    1132 wscntfy.exe          0x00010000 NUMBER_OF_PROCESSORS           1
    1132 wscntfy.exe          0x00010000 OS                             Windows_NT
    1132 wscntfy.exe          0x00010000 Path                           C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem
    1132 wscntfy.exe          0x00010000 PATHEXT                        .COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH
    1132 wscntfy.exe          0x00010000 PROCESSOR_ARCHITECTURE         x86
    1132 wscntfy.exe          0x00010000 PROCESSOR_IDENTIFIER           x86 Family 6 Model 26 Stepping 5, GenuineIntel
    1132 wscntfy.exe          0x00010000 PROCESSOR_LEVEL                6
    1132 wscntfy.exe          0x00010000 PROCESSOR_REVISION             1a05
    1132 wscntfy.exe          0x00010000 ProgramFiles                   C:\Program Files
    1132 wscntfy.exe          0x00010000 SESSIONNAME                    Console
    1132 wscntfy.exe          0x00010000 SystemDrive                    C:
    1132 wscntfy.exe          0x00010000 SystemRoot                     C:\WINDOWS
    1132 wscntfy.exe          0x00010000 TEMP                           C:\DOCUME~1\ADMINI~1\LOCALS~1\Temp
    1132 wscntfy.exe          0x00010000 TMP                            C:\DOCUME~1\ADMINI~1\LOCALS~1\Temp
    1132 wscntfy.exe          0x00010000 USERDOMAIN                     BOB-DCADFEDC55C
    1132 wscntfy.exe          0x00010000 USERNAME                       Administrator
    1132 wscntfy.exe          0x00010000 USERPROFILE                    C:\Documents and Settings\Administrator
    1132 wscntfy.exe          0x00010000 windir                         C:\WINDOWS
     244 msiexec.exe          0x00010000 ALLUSERSPROFILE                C:\Documents and Settings\All Users
     244 msiexec.exe          0x00010000 CommonProgramFiles             C:\Program Files\Common Files
     244 msiexec.exe          0x00010000 COMPUTERNAME                   BOB-DCADFEDC55C
     244 msiexec.exe          0x00010000 ComSpec                        C:\WINDOWS\system32\cmd.exe
     244 msiexec.exe          0x00010000 FP_NO_HOST_CHECK               NO
     244 msiexec.exe          0x00010000 NUMBER_OF_PROCESSORS           1
     244 msiexec.exe          0x00010000 OS                             Windows_NT
     244 msiexec.exe          0x00010000 Path                           C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem
     244 msiexec.exe          0x00010000 PATHEXT                        .COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH
     244 msiexec.exe          0x00010000 PROCESSOR_ARCHITECTURE         x86
     244 msiexec.exe          0x00010000 PROCESSOR_IDENTIFIER           x86 Family 6 Model 26 Stepping 5, GenuineIntel
     244 msiexec.exe          0x00010000 PROCESSOR_LEVEL                6
     244 msiexec.exe          0x00010000 PROCESSOR_REVISION             1a05
     244 msiexec.exe          0x00010000 ProgramFiles                   C:\Program Files
     244 msiexec.exe          0x00010000 SystemDrive                    C:
     244 msiexec.exe          0x00010000 SystemRoot                     C:\WINDOWS
     244 msiexec.exe          0x00010000 TEMP                           C:\WINDOWS\TEMP
     244 msiexec.exe          0x00010000 TMP                            C:\WINDOWS\TEMP
     244 msiexec.exe          0x00010000 USERPROFILE                    C:\Documents and Settings\Default User
     244 msiexec.exe          0x00010000 windir                         C:\WINDOWS
     440 wuauclt.exe          0x00010000 ALLUSERSPROFILE                C:\Documents and Settings\All Users
     440 wuauclt.exe          0x00010000 CommonProgramFiles             C:\Program Files\Common Files
     440 wuauclt.exe          0x00010000 COMPUTERNAME                   BOB-DCADFEDC55C
     440 wuauclt.exe          0x00010000 ComSpec                        C:\WINDOWS\system32\cmd.exe
     440 wuauclt.exe          0x00010000 FP_NO_HOST_CHECK               NO
     440 wuauclt.exe          0x00010000 NUMBER_OF_PROCESSORS           1
     440 wuauclt.exe          0x00010000 OS                             Windows_NT
     440 wuauclt.exe          0x00010000 Path                           C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem
     440 wuauclt.exe          0x00010000 PATHEXT                        .COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH
     440 wuauclt.exe          0x00010000 PROCESSOR_ARCHITECTURE         x86
     440 wuauclt.exe          0x00010000 PROCESSOR_IDENTIFIER           x86 Family 6 Model 26 Stepping 5, GenuineIntel
     440 wuauclt.exe          0x00010000 PROCESSOR_LEVEL                6
     440 wuauclt.exe          0x00010000 PROCESSOR_REVISION             1a05
     440 wuauclt.exe          0x00010000 ProgramFiles                   C:\Program Files
     440 wuauclt.exe          0x00010000 SystemDrive                    C:
     440 wuauclt.exe          0x00010000 SystemRoot                     C:\WINDOWS
     440 wuauclt.exe          0x00010000 TEMP                           C:\WINDOWS\TEMP
     440 wuauclt.exe          0x00010000 TMP                            C:\WINDOWS\TEMP
     440 wuauclt.exe          0x00010000 USERPROFILE                    C:\Documents and Settings\NetworkService
     440 wuauclt.exe          0x00010000 windir                         C:\WINDOWS
     232 wuauclt.exe          0x00010000 ALLUSERSPROFILE                C:\Documents and Settings\All Users
     232 wuauclt.exe          0x00010000 APPDATA                        C:\Documents and Settings\Administrator\Application Data
     232 wuauclt.exe          0x00010000 CLIENTNAME                     Console
     232 wuauclt.exe          0x00010000 CommonProgramFiles             C:\Program Files\Common Files
     232 wuauclt.exe          0x00010000 COMPUTERNAME                   BOB-DCADFEDC55C
     232 wuauclt.exe          0x00010000 ComSpec                        C:\WINDOWS\system32\cmd.exe
     232 wuauclt.exe          0x00010000 FP_NO_HOST_CHECK               NO
     232 wuauclt.exe          0x00010000 HOMEDRIVE                      C:
     232 wuauclt.exe          0x00010000 HOMEPATH                       \Documents and Settings\Administrator
     232 wuauclt.exe          0x00010000 LOGONSERVER                    \\BOB-DCADFEDC55C
     232 wuauclt.exe          0x00010000 NUMBER_OF_PROCESSORS           1
     232 wuauclt.exe          0x00010000 OS                             Windows_NT
     232 wuauclt.exe          0x00010000 Path                           C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem
     232 wuauclt.exe          0x00010000 PATHEXT                        .COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH
     232 wuauclt.exe          0x00010000 PROCESSOR_ARCHITECTURE         x86
     232 wuauclt.exe          0x00010000 PROCESSOR_IDENTIFIER           x86 Family 6 Model 26 Stepping 5, GenuineIntel
     232 wuauclt.exe          0x00010000 PROCESSOR_LEVEL                6
     232 wuauclt.exe          0x00010000 PROCESSOR_REVISION             1a05
     232 wuauclt.exe          0x00010000 ProgramFiles                   C:\Program Files
     232 wuauclt.exe          0x00010000 SESSIONNAME                    Console
     232 wuauclt.exe          0x00010000 SystemDrive                    C:
     232 wuauclt.exe          0x00010000 SystemRoot                     C:\WINDOWS
     232 wuauclt.exe          0x00010000 TEMP                           C:\DOCUME~1\ADMINI~1\LOCALS~1\Temp
     232 wuauclt.exe          0x00010000 TMP                            C:\DOCUME~1\ADMINI~1\LOCALS~1\Temp
     232 wuauclt.exe          0x00010000 USERDOMAIN                     BOB-DCADFEDC55C
     232 wuauclt.exe          0x00010000 USERNAME                       Administrator
     232 wuauclt.exe          0x00010000 USERPROFILE                    C:\Documents and Settings\Administrator
     232 wuauclt.exe          0x00010000 windir                         C:\WINDOWS
     888 firefox.exe          0x00010000 ALLUSERSPROFILE                C:\Documents and Settings\All Users
     888 firefox.exe          0x00010000 APPDATA                        C:\Documents and Settings\Administrator\Application Data
     888 firefox.exe          0x00010000 CLIENTNAME                     Console
     888 firefox.exe          0x00010000 CommonProgramFiles             C:\Program Files\Common Files
     888 firefox.exe          0x00010000 COMPUTERNAME                   BOB-DCADFEDC55C
     888 firefox.exe          0x00010000 ComSpec                        C:\WINDOWS\system32\cmd.exe
     888 firefox.exe          0x00010000 FP_NO_HOST_CHECK               NO
     888 firefox.exe          0x00010000 HOMEDRIVE                      C:
     888 firefox.exe          0x00010000 HOMEPATH                       \Documents and Settings\Administrator
     888 firefox.exe          0x00010000 LOGONSERVER                    \\BOB-DCADFEDC55C
     888 firefox.exe          0x00010000 NUMBER_OF_PROCESSORS           1
     888 firefox.exe          0x00010000 OS                             Windows_NT
     888 firefox.exe          0x00010000 Path                           C:\Program Files\Mozilla Firefox\;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem
     888 firefox.exe          0x00010000 PATHEXT                        .COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH
     888 firefox.exe          0x00010000 PROCESSOR_ARCHITECTURE         x86
     888 firefox.exe          0x00010000 PROCESSOR_IDENTIFIER           x86 Family 6 Model 26 Stepping 5, GenuineIntel
     888 firefox.exe          0x00010000 PROCESSOR_LEVEL                6
     888 firefox.exe          0x00010000 PROCESSOR_REVISION             1a05
     888 firefox.exe          0x00010000 ProgramFiles                   C:\Program Files
     888 firefox.exe          0x00010000 SESSIONNAME                    Console
     888 firefox.exe          0x00010000 SystemDrive                    C:
     888 firefox.exe          0x00010000 SystemRoot                     C:\WINDOWS
     888 firefox.exe          0x00010000 TEMP                           C:\DOCUME~1\ADMINI~1\LOCALS~1\Temp
     888 firefox.exe          0x00010000 TMP                            C:\DOCUME~1\ADMINI~1\LOCALS~1\Temp
     888 firefox.exe          0x00010000 USERDOMAIN                     BOB-DCADFEDC55C
     888 firefox.exe          0x00010000 USERNAME                       Administrator
     888 firefox.exe          0x00010000 USERPROFILE                    C:\Documents and Settings\Administrator
     888 firefox.exe          0x00010000 windir                         C:\WINDOWS
    1752 AcroRd32.exe         0x00010000 ALLUSERSPROFILE                C:\Documents and Settings\All Users
    1752 AcroRd32.exe         0x00010000 APPDATA                        C:\Documents and Settings\Administrator\Application Data
    1752 AcroRd32.exe         0x00010000 CLIENTNAME                     Console
    1752 AcroRd32.exe         0x00010000 CommonProgramFiles             C:\Program Files\Common Files
    1752 AcroRd32.exe         0x00010000 COMPUTERNAME                   BOB-DCADFEDC55C
    1752 AcroRd32.exe         0x00010000 ComSpec                        C:\WINDOWS\system32\cmd.exe
    1752 AcroRd32.exe         0x00010000 FP_NO_HOST_CHECK               NO
    1752 AcroRd32.exe         0x00010000 HOMEDRIVE                      C:
    1752 AcroRd32.exe         0x00010000 HOMEPATH                       \Documents and Settings\Administrator
    1752 AcroRd32.exe         0x00010000 LOGONSERVER                    \\BOB-DCADFEDC55C
    1752 AcroRd32.exe         0x00010000 NUMBER_OF_PROCESSORS           1
    1752 AcroRd32.exe         0x00010000 OS                             Windows_NT
    1752 AcroRd32.exe         0x00010000 Path                           C:\Program Files\Adobe\Acrobat 6.0\Reader\plug_ins;C:\Program Files\Mozilla Firefox\;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem
    1752 AcroRd32.exe         0x00010000 PATHEXT                        .COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH
    1752 AcroRd32.exe         0x00010000 PROCESSOR_ARCHITECTURE         x86
    1752 AcroRd32.exe         0x00010000 PROCESSOR_IDENTIFIER           x86 Family 6 Model 26 Stepping 5, GenuineIntel
    1752 AcroRd32.exe         0x00010000 PROCESSOR_LEVEL                6
    1752 AcroRd32.exe         0x00010000 PROCESSOR_REVISION             1a05
    1752 AcroRd32.exe         0x00010000 ProgramFiles                   C:\Program Files
    1752 AcroRd32.exe         0x00010000 SESSIONNAME                    Console
    1752 AcroRd32.exe         0x00010000 SystemDrive                    C:
    1752 AcroRd32.exe         0x00010000 SystemRoot                     C:\WINDOWS
    1752 AcroRd32.exe         0x00010000 TEMP                           C:\DOCUME~1\ADMINI~1\LOCALS~1\Temp
    1752 AcroRd32.exe         0x00010000 TMP                            C:\DOCUME~1\ADMINI~1\LOCALS~1\Temp
    1752 AcroRd32.exe         0x00010000 USERDOMAIN                     BOB-DCADFEDC55C
    1752 AcroRd32.exe         0x00010000 USERNAME                       Administrator
    1752 AcroRd32.exe         0x00010000 USERPROFILE                    C:\Documents and Settings\Administrator
    1752 AcroRd32.exe         0x00010000 windir                         C:\WINDOWS
    1384 svchost.exe          0x00010000 ALLUSERSPROFILE                C:\Documents and Settings\All Users
    1384 svchost.exe          0x00010000 CommonProgramFiles             C:\Program Files\Common Files
    1384 svchost.exe          0x00010000 COMPUTERNAME                   BOB-DCADFEDC55C
    1384 svchost.exe          0x00010000 ComSpec                        C:\WINDOWS\system32\cmd.exe
    1384 svchost.exe          0x00010000 FP_NO_HOST_CHECK               NO
    1384 svchost.exe          0x00010000 NUMBER_OF_PROCESSORS           1
    1384 svchost.exe          0x00010000 OS                             Windows_NT
    1384 svchost.exe          0x00010000 Path                           C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem
    1384 svchost.exe          0x00010000 PATHEXT                        .COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH
    1384 svchost.exe          0x00010000 PROCESSOR_ARCHITECTURE         x86
    1384 svchost.exe          0x00010000 PROCESSOR_IDENTIFIER           x86 Family 6 Model 26 Stepping 5, GenuineIntel
    1384 svchost.exe          0x00010000 PROCESSOR_LEVEL                6
    1384 svchost.exe          0x00010000 PROCESSOR_REVISION             1a05
    1384 svchost.exe          0x00010000 ProgramFiles                   C:\Program Files
    1384 svchost.exe          0x00010000 SystemDrive                    C:
    1384 svchost.exe          0x00010000 SystemRoot                     C:\WINDOWS
    1384 svchost.exe          0x00010000 TEMP                           C:\WINDOWS\TEMP
    1384 svchost.exe          0x00010000 TMP                            C:\WINDOWS\TEMP
    1384 svchost.exe          0x00010000 USERPROFILE                    C:\Documents and Settings\LocalService
    1384 svchost.exe          0x00010000 windir                         C:\WINDOWS
